country,latitude,longitude,trips_2024,trips_2025,spend_2024,spend_2025,region
New Zealand,-40.9,174.88,1259.5,1302.8,2063.8,2410.1,Pacific
China,35.86,104.19,829.0,974.4,8065.0,11246.3,Asia
United States of America,37.09,-95.71,668.8,696.9,1992.6,2396.4,Americas
United Kingdom,51.51,-0.12,604.7,720.9,2195.1,2870.2,Europe
India,20.59,78.96,421.0,429.2,1660.2,1834.8,Asia
Japan,36.2,138.25,361.8,385.2,1434.9,1616.7,Asia
Singapore,1.35,103.82,360.7,385.6,1088.4,1122.3,Asia
Korea,35.9,127.85,342.3,362.6,1571.1,1444.6,Asia
Hong Kong,22.32,114.17,198.8,228.2,873.4,1127.8,Asia
Indonesia,-0.79,113.92,201.8,217.9,998.0,976.2,Asia
Philippines,12.88,121.77,164.3,179.3,601.4,607.7,Asia
Vietnam,14.06,108.28,160.5,153.9,833.2,906.4,Asia
Germany,51.17,10.45,159.3,169.4,612.3,685.2,Europe
Canada,56.13,-106.35,154.3,160.8,554.5,664.6,Americas
Taiwan,23.7,120.96,149.3,174.9,902.9,977.8,Asia
Malaysia,4.21,101.97,183.7,193.6,685.1,704.9,Asia
France,46.23,2.21,121.8,138.6,680.4,924.5,Europe
Thailand,15.87,100.99,89.7,91.2,456.8,459.9,Asia
